,RegionName,State
0,Auburn,Alabama
1,Florence,Alabama
2,Jacksonville,Alabama
3,Livingston,Alabama
4,Montevallo,Alabama
5,Troy,Alabama
6,Tuscaloosa,Alabama
7,Tuskegee,Alabama
8,Fairbanks,Alaska
9,Flagstaff,Arizona
10,Tempe,Arizona
11,Tucson,Arizona
12,Arkadelphia,Arkansas
13,Conway,Arkansas
14,Fayetteville,Arkansas
15,Jonesboro,Arkansas
16,Magnolia,Arkansas
17,Monticello,Arkansas
18,Russellville,Arkansas
19,Searcy,Arkansas
20,Angwin,California
21,Arcata,California
22,Berkeley,California
23,Chico,California
24,Claremont,California
25,Cotati,California
26,Davis,California
27,Irvine,California
28,Isla Vista,California
29,"University Park, Los Angeles",California
30,Merced,California
31,Orange,California
32,Palo Alto,California
33,Pomona,California
34,Redlands,California
35,Riverside,California
36,Sacramento,California
37,"University District, San Bernardino",California
38,San Diego,California
39,San Luis Obispo,California
40,Santa Barbara,California
41,Santa Cruz,California
42,Turlock,California
43,"Westwood, Los Angeles",California
44,Whittier,California
45,Alamosa,Colorado
46,Boulder,Colorado
47,Durango,Colorado
48,Fort Collins,Colorado
49,Golden,Colorado
50,Grand Junction,Colorado
51,Greeley,Colorado
52,Gunnison,Colorado
53,"Pueblo, Colorado",Colorado
54,Fairfield,Connecticut
55,Middletown,Connecticut
56,New Britain,Connecticut
57,New Haven,Connecticut
58,New London,Connecticut
59,Storrs,Connecticut
60,Willimantic,Connecticut
61,Dover,Delaware
62,Newark,Delaware
63,Ave Maria,Florida
64,Boca Raton,Florida
65,Coral Gables,Florida
66,DeLand,Florida
67,Estero,Florida
68,Gainesville,Florida
69,Orlando,Florida
70,Sarasota,Florida
71,St. Augustine,Florida
72,St. Leo,Florida
73,Tallahassee,Florida
74,Tampa,Florida
75,Albany,Georgia
76,Athens,Georgia
77,Atlanta,Georgia
78,Carrollton,Georgia
79,Demorest,Georgia
80,Fort Valley,Georgia
81,Kennesaw,Georgia
82,Milledgeville,Georgia
83,Mount Vernon,Georgia
84,Oxford,Georgia
85,Rome,Georgia
86,Savannah,Georgia
87,Statesboro,Georgia
88,Valdosta,Georgia
89,Waleska,Georgia
90,Young Harris,Georgia
91,Manoa,Hawaii
92,Moscow,Idaho
93,Pocatello,Idaho
94,Rexburg,Idaho
95,Carbondale,Illinois
96,Champaign–Urbana,Illinois
97,Charleston,Illinois
98,DeKalb,Illinois
99,Edwardsville,Illinois
100,Evanston,Illinois
101,Lebanon,Illinois
102,Macomb,Illinois
103,Normal,Illinois
104,Peoria,Illinois
105,Bloomington,Indiana
106,Crawfordsville,Indiana
107,Greencastle,Indiana
108,Hanover,Indiana
109,Marion,Indiana
110,Muncie,Indiana
111,Oakland City,Indiana
112,Richmond,Indiana
113,South Bend,Indiana
114,Terre Haute,Indiana
115,Upland,Indiana
116,Valparaiso,Indiana
117,West Lafayette,Indiana
118,Ames,Iowa
119,Cedar Falls,Iowa
120,"Cedar Rapids, Iowa",Iowa
121,Decorah,Iowa
122,Fayette,Iowa
123,Grinnell,Iowa
124,Iowa City,Iowa
125,Lamoni,Iowa
126,"Mount Vernon,",Iowa
127,Orange City,Iowa
128,Sioux Center,Iowa
129,Storm Lake,Iowa
130,Waverly,Iowa
131,Baldwin City,Kansas
132,Emporia,Kansas
133,Hays,Kansas
134,Lawrence,Kansas
135,Manhattan,Kansas
136,Pittsburg,Kansas
137,Bowling Green,Kentucky
138,Columbia,Kentucky
139,Georgetown,Kentucky
140,Highland Heights,Kentucky
141,Lexington,Kentucky
142,Louisville,Kentucky
143,Morehead,Kentucky
