State,RegionName,2000q1,2000q2,2000q3,2000q4,2001q1,2001q2,2001q3,2001q4,2002q1,2002q2,2002q3,2002q4,2003q1,2003q2,2003q3,2003q4,2004q1,2004q2,2004q3,2004q4,2005q1,2005q2,2005q3,2005q4,2006q1,2006q2,2006q3,2006q4,2007q1,2007q2,2007q3,2007q4,2008q1,2008q2,2008q3,2008q4,2009q1,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,Price_Ratio
Nevada,Las Vegas,132600.0,134366.66666666666,135400.0,137000.0,139533.33333333334,141733.33333333334,143366.66666666666,146133.33333333334,149333.33333333334,150933.33333333334,152333.33333333334,155400.0,159466.66666666666,162666.66666666666,167333.33333333334,176166.66666666666,190066.66666666666,215966.66666666666,246400.0,262800.0,269000.0,274766.6666666667,280500.0,288666.6666666667,295433.3333333333,297733.3333333333,297533.3333333333,294333.3333333333,289966.6666666667,282100.0,274966.6666666667,264933.3333333333,250933.33333333334,232300.0,213366.66666666666,194933.33333333334,181200.0,164333.33333333334,146233.33333333334,136133.33333333334,129466.66666666667,128433.33333333333,125966.66666666667,123800.0,120600.0,115833.33333333333,112166.66666666667,110400.0,110866.66666666667,113233.33333333333,118566.66666666667,124766.66666666667,132633.33333333334,142333.33333333334,154600.0,162566.66666666666,166000.0,170066.66666666666,173400.0,175466.66666666666,177500.0,181600.0,186766.66666666666,190633.33333333334,194600.0,197200.0,199950.0,1.4135902636916835
California,San Diego,222900.0,234366.66666666666,245433.33333333334,256033.33333333334,267200.0,276266.6666666667,284500.0,291933.3333333333,301233.3333333333,312866.6666666667,331100.0,350700.0,366433.3333333333,377433.3333333333,389600.0,412033.3333333333,440066.6666666667,476033.3333333333,511033.3333333333,525133.3333333334,531233.3333333334,536333.3333333334,539833.3333333334,542733.3333333334,541500.0,538366.6666666666,527866.6666666666,517900.0,512833.3333333333,505300.0,493900.0,481166.6666666667,461966.6666666667,441400.0,424666.6666666667,407633.3333333333,395700.0,389500.0,391500.0,398566.6666666667,406133.3333333333,406133.3333333333,398133.3333333333,389666.6666666667,383600.0,376100.0,369000.0,366566.6666666667,369766.6666666667,376733.3333333333,387000.0,401966.6666666667,416400.0,435666.6666666667,454800.0,466466.6666666667,474000.0,480200.0,489033.3333333333,496433.3333333333,503366.6666666667,512066.6666666667,519766.6666666667,525466.6666666666,529333.3333333334,536233.3333333334,539750.0,1.1332477535301668
Texas,Dallas,84466.66666666667,83866.66666666667,84866.66666666667,87833.33333333333,89733.33333333333,89300.0,89066.66666666667,90900.0,92566.66666666667,93800.0,95400.0,96500.0,98200.0,98500.0,99133.33333333333,99966.66666666667,102700.0,107733.33333333333,110400.0,111900.0,114033.33333333333,115866.66666666667,116666.66666666667,117566.66666666667,117866.66666666667,118533.33333333333,119900.0,121100.0,121333.33333333333,121766.66666666667,122566.66666666667,123133.33333333333,119900.0,115366.66666666667,112166.66666666667,109900.0,107666.66666666667,105100.0,104400.0,103433.33333333333,103300.0,102733.33333333333,100566.66666666667,98333.33333333333,97200.0,95300.0,93933.33333333333,93833.33333333333,96166.66666666667,97766.66666666667,97633.33333333333,97700.0,97966.66666666667,100266.66666666667,102233.33333333333,104533.33333333333,105333.33333333333,106633.33333333333,108900.0,111533.33333333333,113700.0,121133.33333333333,128566.66666666667,134600.0,140500.0,144600.0,149300.0,1.0976847446875992
Texas,Austin,142966.66666666666,145266.66666666666,149466.66666666666,155733.33333333334,161233.33333333334,160733.33333333334,159533.33333333334,160033.33333333334,158966.66666666666,157500.0,156033.33333333334,154133.33333333334,153200.0,154233.33333333334,155466.66666666666,155700.0,158633.33333333334,162300.0,164333.33333333334,165100.0,167000.0,169666.66666666666,172400.0,176866.66666666666,180366.66666666666,184233.33333333334,188666.66666666666,192700.0,197966.66666666666,203033.33333333334,209933.33333333334,214533.33333333334,215900.0,213733.33333333334,211033.33333333334,207466.66666666666,207000.0,204000.0,207066.66666666666,214166.66666666666,207066.66666666666,206466.66666666666,202266.66666666666,198933.33333333334,200100.0,200233.33333333334,198333.33333333334,198533.33333333334,202866.66666666666,205600.0,209300.0,210633.33333333334,213433.33333333334,220866.66666666666,229000.0,235266.66666666666,243533.33333333334,248866.66666666666,252800.0,258133.33333333334,266500.0,275033.3333333333,281633.3333333333,287233.3333333333,293500.0,301433.3333333333,304450.0,1.0477124183006536
Ohio,Columbus,94366.66666666667,95833.33333333333,97133.33333333333,98266.66666666667,99400.0,100266.66666666667,101066.66666666667,102200.0,103400.0,104800.0,106366.66666666667,107700.0,109300.0,110800.0,112433.33333333333,113533.33333333333,114400.0,115200.0,116466.66666666667,118400.0,119433.33333333333,120566.66666666667,120833.33333333333,121533.33333333333,121766.66666666667,122133.33333333333,121433.33333333333,120500.0,120300.0,119733.33333333333,119266.66666666667,118733.33333333333,116633.33333333333,113500.0,112200.0,111600.0,110966.66666666667,109766.66666666667,108700.0,109333.33333333333,110900.0,109466.66666666667,108133.33333333333,105300.0,103266.66666666667,102233.33333333333,99800.0,96200.0,94366.66666666667,95666.66666666667,96466.66666666667,95800.0,95000.0,96766.66666666667,98933.33333333333,100766.66666666667,101733.33333333333,103133.33333333333,104500.0,106433.33333333333,107866.66666666667,109433.33333333333,111566.66666666667,115000.0,116700.0,118200.0,120100.0,1.034011539629517
Tennessee,Memphis,72500.0,73200.0,73866.66666666667,74000.0,74166.66666666667,74933.33333333333,75500.0,76066.66666666667,76333.33333333333,76766.66666666667,77400.0,78066.66666666667,78533.33333333333,78933.33333333333,79266.66666666667,79533.33333333333,80366.66666666667,80633.33333333333,81166.66666666667,81900.0,82600.0,83500.0,84266.66666666667,85266.66666666667,86166.66666666667,87166.66666666667,87600.0,88633.33333333333,89633.33333333333,89366.66666666667,87933.33333333333,86600.0,85600.0,84400.0,83700.0,80900.0,77966.66666666667,76000.0,75133.33333333333,74066.66666666667,71733.33333333333,69833.33333333333,68666.66666666667,67333.33333333333,66533.33333333333,66500.0,65133.333333333336,65433.333333333336,66466.66666666667,66333.33333333333,65766.66666666667,64100.0,63966.666666666664,63866.666666666664,64933.333333333336,66100.0,66966.66666666667,68100.0,69100.0,71166.66666666667,70533.33333333333,68700.0,68666.66666666667,69533.33333333333,70900.0,74166.66666666667,75900.0,1.1105263157894736
Massachusetts,Boston,206933.33333333334,219166.66666666666,233100.0,242500.0,249600.0,257066.66666666666,266933.3333333333,274966.6666666667,282500.0,289300.0,297466.6666666667,307733.3333333333,315300.0,322400.0,325866.6666666667,330766.6666666667,338366.6666666667,346466.6666666667,354333.3333333333,363300.0,372200.0,377400.0,377833.3333333333,378100.0,376966.6666666667,371200.0,364533.3333333333,362066.6666666667,362466.6666666667,362566.6666666667,358200.0,356000.0,352466.6666666667,347966.6666666667,347333.3333333333,341133.3333333333,328633.3333333333,325200.0,335066.6666666667,337966.6666666667,336533.3333333333,341066.6666666667,344600.0,344433.3333333333,348033.3333333333,346366.6666666667,341466.6666666667,342900.0,351933.3333333333,357833.3333333333,357900.0,363900.0,375700.0,388500.0,398633.3333333333,409166.6666666667,416200.0,426666.6666666667,431433.3333333333,440733.3333333333,448500.0,455366.6666666667,463966.6666666667,471633.3333333333,482600.0,490366.6666666667,501700.0,1.0700082000820008
Tennessee,Nashville,113833.33333333333,115266.66666666667,115866.66666666667,116933.33333333333,118033.33333333333,119166.66666666667,120100.0,120800.0,121566.66666666667,122633.33333333333,123566.66666666667,124066.66666666667,125033.33333333333,126000.0,126500.0,127833.33333333333,129033.33333333333,130233.33333333333,131333.33333333334,132666.66666666666,134833.33333333334,136866.66666666666,139933.33333333334,142866.66666666666,145700.0,148133.33333333334,150533.33333333334,153066.66666666666,154966.66666666666,156433.33333333334,157066.66666666666,156933.33333333334,155733.33333333334,154600.0,154333.33333333334,154200.0,152400.0,150133.33333333334,149033.33333333334,148166.66666666666,149800.0,149800.0,148833.33333333334,147000.0,144500.0,144466.66666666666,142766.66666666666,140766.66666666666,140200.0,141533.33333333334,143733.33333333334,145166.66666666666,147400.0,149300.0,152566.66666666666,155066.66666666666,157233.33333333334,160700.0,162300.0,166900.0,171466.66666666666,176266.66666666666,181800.0,189200.0,195066.66666666666,200366.66666666666,206100.0,1.0297513321492007
Wisconsin,Milwaukee,78033.33333333333,79066.66666666667,81033.33333333333,82333.33333333333,84033.33333333333,85566.66666666667,87066.66666666667,88400.0,89533.33333333333,91366.66666666667,93066.66666666667,95000.0,97600.0,100633.33333333333,103900.0,106900.0,109633.33333333333,113166.66666666667,117400.0,121300.0,123933.33333333333,126433.33333333333,129900.0,133100.0,135300.0,136366.66666666666,136000.0,135600.0,135433.33333333334,135566.66666666666,134166.66666666666,133966.66666666666,133766.66666666666,131233.33333333334,127900.0,124500.0,120600.0,116733.33333333333,114366.66666666667,113633.33333333333,113733.33333333333,111633.33333333333,108900.0,103433.33333333333,100766.66666666667,98166.66666666667,95800.0,93600.0,89666.66666666667,88300.0,88133.33333333333,88633.33333333333,89466.66666666667,90733.33333333333,91933.33333333333,92933.33333333333,91700.0,92166.66666666667,92166.66666666667,91966.66666666667,93333.33333333333,94100.0,94133.33333333333,94566.66666666667,94666.66666666667,96366.66666666667,98850.0,1.1242147344374644
Arizona,Tucson,101833.33333333333,102966.66666666667,104466.66666666667,105666.66666666667,107200.0,108766.66666666667,110566.66666666667,112800.0,115000.0,117200.0,119633.33333333333,122100.0,123933.33333333333,126233.33333333333,129766.66666666667,133033.33333333334,135666.66666666666,138833.33333333334,144400.0,152333.33333333334,160866.66666666666,171966.66666666666,182266.66666666666,190566.66666666666,202333.33333333334,209533.33333333334,209200.0,207266.66666666666,203833.33333333334,202233.33333333334,199033.33333333334,195033.33333333334,188100.0,180600.0,175766.66666666666,172133.33333333334,168866.66666666666,164366.66666666666,159833.33333333334,155633.33333333334,151400.0,147366.66666666666,144366.66666666666,140233.33333333334,136033.33333333334,130700.0,125966.66666666667,121433.33333333333,120800.0,122600.0,124500.0,126933.33333333333,129166.66666666667,131800.0,135200.0,138933.33333333334,141066.66666666666,142466.66666666666,143433.33333333334,144233.33333333334,144166.66666666666,145133.33333333334,146600.0,148166.66666666666,149533.33333333334,151166.66666666666,152700.0,1.0987629284120868
